id,Name,Loss,val_loss,precision,val_precision,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,recall,val_recall,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,F1,val_F1,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,accuracy,val_accuracy,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
1,S1A+(el_sl_as),0.01844056137,0.0387259461,0.9885726748,0.9914594539,0.9779940954,0.8616735315,0.6127635531,0.7801667573,0.9337728449,0.6158390011,0.5802564082,0.9600929091,0.9778841487,0.7995981306,0.8328981929,0.9865665722,0.9144079948,0.9720049867,0.5000845599,0.6887938752,0.8768398982,0.919012484,0.7609707299,0.9627376016,0.9650953309,0.662319448,0.9507101745,0.7290332955,0.9875669778,0.9493146173,0.9736898102,0.4484884891,0.6410332177,0.8209032589,0.9262597586,0.6573170274,0.6191999825,0.9625788473,0.7381120553,0.8581664846,0.7695417596,0.9955517451,0.9915751775,0.9898855421,0.8126362695,0.9944169786,0.9822756449,0.9948887295,0.9607493083,0.927415212,0.9925494724,0.9773684608,0.9759786394,0.949822998
2,S1A+el,0.07440698892,0.1446622461,0.9890524598,0.9917656717,0.9852130136,0.4063035117,0.6190849666,0.6487007107,0.8562727386,0.5649193046,0.5270385795,0.9504758142,0.9758290996,0.7581552406,0.7154651973,0.982961486,0.9067425228,0.9597498903,0.5,0.7061328539,0.8852748411,0.659987928,0.8426072365,0.876392729,0.9675998304,0.8830144242,0.9600125155,0.7225299832,0.9859825317,0.94481427,0.9699513957,0.448308438,0.6507712134,0.7083674613,0.7194161833,0.5896694476,0.4811975909,0.9588570405,0.9240532937,0.8269365461,0.7189240486,0.9950058195,0.9909065882,0.9886953566,0.8126070235,0.9944530063,0.9554437002,0.9856372409,0.9067488776,0.7574208577,0.9916977353,0.9912043677,0.9673597548,0.92647455
3,S1A+sl,0.01725642011,0.03205187991,0.9912458034,0.9931049886,0.9843152216,0.6685716883,0.6602866146,0.7299777891,0.9786485481,0.5963933758,0.5159986802,0.9861296278,0.9147116195,0.9128806508,0.7007032122,0.9778288151,0.9107952779,0.9575183197,0.6707057941,0.6173885239,0.8489140472,0.9046821962,0.7386333384,0.7868184363,0.9409234967,0.9224030018,0.8897207381,0.8083494447,0.9844186204,0.9478135686,0.9691050014,0.6696215391,0.6354853194,0.7762547649,0.9384540737,0.6333565024,0.3959341912,0.9622912064,0.9185190935,0.9009382231,0.739130649,0.9944900089,0.9913729668,0.9883764055,0.797487047,0.996328142,0.9762162103,0.9959949917,0.9550630781,0.5804788801,0.9928790198,0.9894506666,0.9870037503,0.914395735
4,S1A+as,0.03177304193,0.03088340536,0.9733010747,0.9817674604,0.9667329206,0.7317847783,0.6295920048,0.6974038218,0.9440773422,0.5652485567,0.5121572038,0.9757221716,0.7855934213,0.812579415,0.6941977235,0.9877789407,0.9344739633,0.9752494097,0.8602654422,0.7065173365,0.8837336959,0.9450809618,0.8374117322,0.7174503444,0.9494127734,0.9537016416,0.9322164351,0.9178313298,0.9803991261,0.9567682741,0.9698302252,0.7448432675,0.659119565,0.7579343601,0.9445785628,0.590573295,0.3270439936,0.9621469841,0.8483500839,0.8617238604,0.7478541418,0.9928651174,0.9925872485,0.9882193671,0.7915829553,0.9948584239,0.9698346456,0.9960876041,0.9086399078,0.4431654612,0.9927111732,0.9747560289,0.9777370029,0.895377477
5,S1A+(sl_as),0.0226940345,0.06762297451,0.9891863691,0.9935704867,0.9788397705,0.6996075934,0.698743266,0.8122274062,0.9814212677,0.6259049469,0.5170999337,0.9907069696,0.9029773495,0.9319104621,0.7145130152,0.978746477,0.8946865186,0.9665593936,0.6448516172,0.6274721978,0.8414862596,0.9034171457,0.750456889,0.8007493705,0.9260841394,0.9013062853,0.8808326578,0.7932328169,0.9838943941,0.9380615756,0.9712325068,0.6632000146,0.6552467903,0.8261619743,0.9388545328,0.6654387233,0.4095536905,0.9558484882,0.9021399385,0.9046365964,0.7458054555,0.9942874485,0.9899456342,0.9890149434,0.821741528,0.9967093998,0.9846483866,0.9960371653,0.9648399353,0.6091849009,0.991830402,0.9874725342,0.9878877004,0.9223727332
6,S1A+(el_sl),0.01898675039,0.04962082952,0.9898497509,0.9934106991,0.9872485991,0.4063035117,0.6450049911,0.6637809951,0.9106455091,0.5660867808,0.521806944,0.9703640195,0.9752315175,0.7981261291,0.7000594704,0.9791918793,0.9003628261,0.9529079987,0.5,0.6852945246,0.8731786007,0.6465512836,0.8320788894,0.8452768843,0.9545441366,0.9035790277,0.9512041977,0.7166241887,0.9844458477,0.9415453702,0.9673167162,0.448308438,0.6626594396,0.7232339215,0.7139971091,0.5924017122,0.4506459067,0.9623017686,0.9362748327,0.857201531,0.7079101619,0.9944842021,0.99044981,0.9878124661,0.8126070235,0.9955319299,0.9614959293,0.9862791697,0.9113494025,0.6958607568,0.9926603105,0.9924399058,0.9757258097,0.9217041863
7,S1A+(el_as),0.05972889811,0.2116051614,0.9928675878,0.9924467677,0.985084744,0.5426672476,0.6860283595,0.759279973,0.8980923108,0.6232155493,0.6195049454,0.9755000461,0.9797940362,0.8417884105,0.8548615545,0.980335272,0.8876238181,0.9598457979,0.5000006532,0.6917441804,0.8820097884,0.6505120309,0.8114860977,0.9763559649,0.9526004507,0.5585176087,0.9346007593,0.7177033397,0.9864983311,0.933157039,0.9698532171,0.448311472,0.6888425578,0.8080390574,0.7165733054,0.6721297297,0.6813869588,0.963732604,0.5972157068,0.8820763797,0.7669683567,0.9952209049,0.9892240842,0.9886578454,0.8126059638,0.9963260227,0.9799537659,0.986193339,0.9591950311,0.9558607737,0.9929909176,0.9706700643,0.9819104936,0.951434962
8,S1+(el_sl_as),0.02006524801,0.03561757132,0.9785506872,0.9672042343,0.9633323896,0.5099073484,0.5875997744,0.7463440895,0.6742598357,0.6247306009,0.4933331157,0.8503922586,0.9831463723,0.6405535983,0.7469067454,0.9921208882,0.9353760969,0.9794001026,0.5000015305,0.7852660128,0.8967547997,0.6636238093,0.8045390027,0.4372604663,0.9654715269,0.717076356,0.9301595512,0.7170530629,0.985213426,0.9506666577,0.9700494714,0.4483299753,0.6329102892,0.8026017771,0.6687622637,0.6729250118,0.4573552941,0.8984762507,0.7966128172,0.6948349162,0.7307781738,0.9946234809,0.9914080302,0.9882106781,0.8125932482,0.9908987681,0.978228675,0.9773555332,0.9603144328,0.8348873986,0.9765597449,0.9810235765,0.9143244425,0.9348801931
9,S1+el,0.03610152379,0.08573206514,0.9861861053,0.9889056038,0.9812671427,0.4063035117,0.6992666816,0.7169456437,0.6981804067,0.6655013959,0.4913417226,0.9263035558,0.9879229738,0.8151963402,0.7263798969,0.9370792084,0.8668587307,0.8875788793,0.5,0.6474838328,0.8457001436,0.646846065,0.7219117331,0.3996549351,0.8526609175,0.6436922315,0.9112163456,0.6664970677,0.9599762425,0.9183041778,0.9192003454,0.448308438,0.6694705454,0.7653600907,0.6684524532,0.6892731746,0.4407770228,0.8855640744,0.7171795543,0.8561712839,0.6907207028,0.9863706165,0.9870971044,0.972085317,0.8126070235,0.9966555701,0.9742927551,0.9796418084,0.9744979011,0.7881923252,0.9792861938,0.9763596853,0.9776117537,0.9308158875
10,S1+sl,0.01447721943,0.0299236346,0.9899292605,0.9923347465,0.9785573959,0.9012847175,0.6721190199,0.8241462477,0.9699634026,0.7565619043,0.4919611254,0.980446616,0.9835535823,0.9541043632,0.8263177877,0.984249829,0.9134129722,0.9679333877,0.6076271917,0.5833077904,0.8526658066,0.8966707432,0.7057913943,0.4309754735,0.8013444845,0.7770049402,0.8526044251,0.75224774,0.9870683441,0.9490772853,0.9720642192,0.6352777182,0.6121126693,0.8377692346,0.9301021858,0.7282411335,0.4594501376,0.8681912807,0.8504726693,0.8964856946,0.7835919886,0.9953906801,0.9915517489,0.9893084632,0.8514908685,0.9966521793,0.9857126872,0.9954550001,0.9828338623,0.8499632941,0.9787103865,0.9848840502,0.9875829485,0.9505663342
11,S1+as,0.05781898648,0.05546905473,0.9672751234,0.9692900515,0.9626041364,0.9301755521,0.5958589009,0.7548867637,0.9228461367,0.6265701561,0.5195536783,0.9718981897,0.8959571954,0.8457292895,0.7876327478,0.985479534,0.9312760882,0.9756108453,0.9516548475,0.7635658847,0.8743551865,0.9495387733,0.7945484088,0.8244824413,0.9325853425,0.8995008353,0.9112711093,0.9338240482,0.9761520887,0.9493923006,0.9679924124,0.9404217138,0.6398103541,0.8024392252,0.9357669127,0.6735186833,0.4352681617,0.9512821765,0.8977204634,0.8753783965,0.8417889127,0.9912832048,0.9912446022,0.987437778,0.9627952576,0.9921379089,0.9794080522,0.9953276316,0.9617328644,0.6642538706,0.9907535977,0.9868208567,0.9815788269,0.9486849043
12,S1+sl_as,0.1301671565,0.1575624198,0.9779713355,0.9817832243,0.9744331206,0.9395411172,0.6261236766,0.8401035144,0.9449228158,0.7178956042,0.5273525499,0.985710808,0.9158485948,0.8155551351,0.8277547946,0.9753027589,0.8864793268,0.9682671035,0.9618885934,0.6389713538,0.8291193842,0.9124262653,0.6907487904,0.8739008127,0.891001395,0.7525131606,0.8046320709,0.9240796916,0.9766322473,0.9283583582,0.970193425,0.950194836,0.6322315944,0.83451622,0.9280343776,0.7033659074,0.4841153819,0.9326482807,0.812827638,0.8099878058,0.8682534102,0.9916457282,0.988354365,0.9885406494,0.9688841502,0.9955054389,0.9862662421,0.9951106177,0.9805028703,0.764046563,0.9879555172,0.9806717767,0.974796719,0.9610443327
13,S1+(el_sl),0.01915518008,0.08316972852,0.985212081,0.9901119717,0.9739355697,0.4063035117,0.7437812109,0.8644501283,0.738801944,0.8643989821,0.4922867104,0.9231694817,0.9859692274,0.7994585644,0.7890667409,0.8834411391,0.8467533952,0.8186385836,0.5,0.5671739776,0.8129611818,0.6449293091,0.6641046385,0.4495077314,0.9068185409,0.5792310101,0.9273337918,0.6471719876,0.9268606862,0.904945628,0.8598652012,0.448308438,0.6049609648,0.8366460691,0.6797727183,0.7249036878,0.4699256495,0.9148115619,0.6296713292,0.850856487,0.6906333276,0.9764904022,0.985349369,0.9555263519,0.8126070235,0.9970684052,0.9871923659,0.9818414052,0.9859909481,0.8865278032,0.9834562937,0.9720859528,0.9755342272,0.9395390193
